ID,Category,Task,Description,Owner,Status,Priority,Dependencies,Notes
C05,Client,Configure Eligibility > Settings on staging,"Set checker URL = /start-consultation/; map Wegovy + Mounjaro doses to product IDs",Murtaza,Not Started,High,Mounjaro/Wegovy WC products created,Quick admin task; can do today
C06,Client,Upload custom logo to WP Customizer,Appearance > Customize > Site Identity > Logo,Murtaza,Not Started,Low,,Eligibility checker header pulls from this
C07,Client,Sign off Sprint 1 demo (Friday week 1),Confirm payment / VAT / shipping / clinician panel / ID upload work as expected,Murtaza,Not Started,High,All Sprint 1 tickets,
C08,Client,Sign off Sprint 2 demo (Friday week 2),Confirm catalogue migration + emails + new treatment pages,Murtaza,Not Started,High,All Sprint 2 tickets,
C09,Client,Approve production deploy + DNS swap,Final go/no-go for going live,Murtaza,Not Started,Critical,Sprint 2 sign-off,
C10,Client,Real prescriber profiles + GPhC numbers,"Names, registration numbers, photos for the team",Murtaza,Not Started,Medium,,For order confirmations + footer
T01,Third-party,Stripe merchant account,Approved account + verified business details,Murtaza,Not Started,Critical,,Sometimes takes 1-2 weeks to approve
T02,Third-party,Frontend file upload plugin,For ID upload step (WP File Upload Pro or similar),Oli,Not Started,High,,~£79 one-off; Oli to recommend
T03,Third-party,Klarna Pay-in-3,Optional second payment method,Murtaza,Deferred,Low,,Post-launch
T04,Third-party,WooCommerce Subscriptions plugin,For monthly Mounjaro/Wegovy billing,Murtaza,Deferred,Medium,,Out of current sprint; ~£199/yr
T05,Third-party,Trustpilot Business,Reviews flywheel,Murtaza,Deferred,Medium,,Post-launch
T06,Third-party,Cookie consent plugin (CookieYes),GDPR cookie banner,Murtaza,Deferred,Medium,,Out of current sprint
T07,Third-party,WP Activity Log Pro,Compliance audit trail,Murtaza,Deferred,Low,,Post-launch
B01,Blocker,Confirm Stripe vs alternative gateway,"Stripe is the recommendation but client may prefer GoCardless / Worldpay",Murtaza,Open,High,,Blocks S101
B02,Blocker,Confirm DNS cutover window,When can we point the live domain at Kinsta production,Murtaza,Open,High,,Blocks S205
B03,Blocker,Kinsta production environment status,Confirm prod env exists and is provisioned,Oli,Open,High,,Check on day 1
B04,Risk,Photography readiness for Sprint 2,"Catalogue migration is blocked if licensed product photos aren't ready",Murtaza,Open,High,,Start photographer engagement now
B05,Risk,Stripe account approval timeline,New merchant accounts can take 1-2 weeks to approve,Murtaza,Open,Medium,,Start application now
DEF01,Deferred,Subscription billing for monthly treatments,Mounjaro/Wegovy as monthly recurring,,Deferred,Medium,,Post-launch phase
DEF02,Deferred,Compliance footer (GPhC reg + MHRA logo),Per GPhC guidelines for online pharmacies,Murtaza,Deferred,High,,Client owns; required before launch
DEF03,Deferred,Two-way verification workflow,Per GPhC 2025 rule for high-risk medicines,Murtaza,Deferred,High,,Client's workflow; not a code task
DEF04,Deferred,Privacy / Terms / Refunds pages,Solicitor-supplied copy,Murtaza,Deferred,High,,Required before launch
DEF05,Deferred,DPIA document,Data Protection Impact Assessment,Murtaza,Deferred,High,,Required for medical data
DEF06,Deferred,Google Merchant Centre feed,Shopping ads for GSL products,Oli,Deferred,Medium,,Post-launch growth
DEF07,Deferred,Schema.org Pharmacy + Product markup audit,SEO,Oli,Deferred,Medium,,Post-launch
DEF08,Deferred,Health Hub content,Editorial articles,Murtaza,Deferred,Low,,Separate content workstream
DEF09,Deferred,HRT treatment seeder,Same pattern as other treatment pages,Oli,Deferred,Low,,Post-launch unless requested
