Task Name,List,Assignee,Priority,Status,Description
Production deploy + DNS cutover,4. Launch Phase 1,Oli + Drew,Urgent,To Do,"Push to production, smoke tests, DNS swap, Kinsta backups + monitoring. Drew approves; Oli deploys."
Post-launch hotfix buffer,4. Launch Phase 1,Oli,High,To Do,"24h hotfix window for first day of live traffic."
Build light form variant for P-meds,5. Add the 550 P-meds (Phase 2),Oli,High,To Do,"Reuses the form engine from Milestone 3. Just the base 9 questions; pharmacist review infra already built."
Wire 550 P-products to consultation form,5. Add the 550 P-meds (Phase 2),Oli,High,To Do,"Per-product form-type flag. Auto-default all P-regulated to the form; GLP-1s stay on the in-depth flow."
Phase 2 go-live,5. Add the 550 P-meds (Phase 2),Oli + Drew,Urgent,To Do,"Switch on the 550 P-meds once form + review tested at scale."
Provide Stripe API keys,Client Actions (Murtaza),Murtaza,Urgent,To Do,"Test keys first, then live. Blocks Stripe go-live."
Start Stripe merchant application,Client Actions (Murtaza),Murtaza,Urgent,To Do,"1-2 week approval lead time. Start now."
Confirm pharmacist review SLA,Client Actions (Murtaza),Murtaza,Urgent,To Do,"Commit to 24-48h review turnaround. Stripe auths only hold 7 days."
Confirm pharmacist staffing for reviews,Client Actions (Murtaza),Murtaza,High,To Do,"Who reviews consultations, what hours, weekend cover? Operational, affects launch readiness."
Confirm UK VAT rates with accountant,Client Actions (Murtaza),Murtaza,High,To Do,"Which products zero-rated / standard / exempt."
Confirm carrier accounts,Client Actions (Murtaza),Murtaza,High,To Do,"Royal Mail / DPD account numbers + rates."
Decision: launch with or without P-meds first,Client Actions (Murtaza),Murtaza,Urgent,To Do,"Determines whether Milestone 5 is before or after first launch."
Sign off catalogue sample,Client Actions (Murtaza),Murtaza,High,To Do,"Review 100-product import sample + 50 description samples before bulk run."
Real prescriber profiles + GPhC numbers,Client Actions (Murtaza),Murtaza,Normal,To Do,"Names + registration numbers for order confirmations / footer."
Upload logo to WP Customizer,Client Actions (Murtaza),Murtaza,Low,To Do,"Appearance > Customize > Site Identity. Consultation header pulls from this."
Klarna Pay-in-3,Later / Backlog,Murtaza,Low,To Do,Optional second payment method. Post-launch.
WooCommerce Subscriptions for monthly treatments,Later / Backlog,Murtaza,Normal,To Do,"Monthly Mounjaro/Wegovy billing. ~£199/yr. Post-launch."
Trustpilot Business,Later / Backlog,Murtaza,Normal,To Do,Reviews flywheel. Post-launch.
Cookie consent (CookieYes),Later / Backlog,Murtaza,Normal,To Do,GDPR cookie banner. Before launch if not already covered.
Compliance footer (GPhC reg + MHRA logo),Later / Backlog,Murtaza,High,To Do,Client supplies copy; Oli wires into footer.
Google Merchant Centre feed (GSL only),Later / Backlog,Oli,Normal,To Do,Shopping ads for GSL products. POM/P excluded by Google policy. Post-launch growth.
Hair Loss + ED treatment seeders,Later / Backlog,Oli,Normal,To Do,Same pattern as Men's/Women's Health pages.
